"","1983","1984","1985","1986","1987"
"Androlaelaps_glasgowi",1.29752066115702,1.32245222929936,0.057796508127634,0.270833333333333,1.92307692307692
"Amerosejus_corbicula",6,0.666666666666667,0,0,0
"Euryparasitus_emarginatus",0.454545454545455,1.9,1.47368421052632,1.53571428571429,0.395348837209302
"Euryparasitus_medius",5,0.2,0,0,0
"Eulaelaps_stabularis",0.847619047619048,1.51685393258427,0.681481481481481,0.978260869565217,0.4
"Haemogamasus_ambulans",0.65625,4.09523809523809,1.02325581395349,1.20454545454545,0.575471698113208
"Haemogamasus_mandschuricus",2.14814814814815,4.46551724137931,0.0501930501930502,0.0769230769230769,9
"Haemogamasus_nidi",0,5,0.44,0.454545454545455,0.2
"Haemogamasus_nidiformes",3.6,0.638888888888889,0,0,0
"Hirstionyssus_apodemi",0,0,0,0,0
"Hirstionyssus_criceti",0.0625,0,0,0,0
"Hirstionyssus_isabellinus",1.93125,1.94822006472492,0.355481727574751,0.214953271028037,2.10869565217391
"Hirstionyssus_soricis",2.02222222222222,0.703296703296703,6.0546875,1.47096774193548,0.419298245614035
"Holoparasitus_gontscharovae",0,0,0,0,0
"Hyperlaelaps_arvalis",0,0,0,0,0.333333333333333
"Iphidosoma_fimetarium",0,0,1.5,3.66666666666667,0.181818181818182
"Laelaspis_astronomicus",0.333333333333333,0,0,0,0
"Laelaps_clethrionomydis",1.00925925925926,3.56880733944954,0.0728363324764353,0.0705882352941176,1.33333333333333
"Laelaps_hilaris",4.2,3.47619047619048,0,0,5.52380952380952
"Laelaps_micromydis",0,0,0,0,0
"Laelaps_muris",0.207547169811321,4.75,0.220095693779904,0.717391304347826,1.60606060606061
"Laelaps_pavlovskyi",2.125,1.25,0.441176470588235,0.52,0.769230769230769
"Macrocheles_matrius",0.0333333333333333,4,0,0,0
"Macrocheles_decoloratus",0.5,1.66666666666667,0,0,0
"Myonyssus_ingricus",1,0,0,5,0.15
"Macrocheles_glaber",1.88888888888889,2.26470588235294,0.025974025974026,0,0
"Macrocheles_nataliae",0.6,0.5,0,0,0
"Macrocheles_rotundiscutus",3,0.555555555555556,0,0,0
"Parasitus_berlesei",0,0,0,0,0
"Parasitus_coleoptratorum",0.25,10,1.3,1,0
"Parasitus_consanguineus",1.28099173553719,1.81290322580645,0.341637010676157,0.5,0.0625
"Parasitus_convexus",0,0,0,0,0
"Pergamasus_crassipes",0.857142857142857,0.666666666666667,0.75,0.666666666666667,0
"Pergamasus_septentrionalis",0,6.5,0.153846153846154,0,0
"Parasitus_fimetorum",1.66666666666667,5.53333333333333,0.0481927710843374,0,0
"Parasitus_lunaris",0,0,3,0.666666666666667,1
"Parasitus_magnus",0,3,0,0,0
"Poecilochirus_necrophori",1.70149253731343,2.15204678362573,0.91304347826087,0.925595238095238,0.27491961414791
"Parasitus_oudemansi",1.81481481481481,2.08163265306122,0.637254901960784,2.15384615384615,0.0785714285714286
"Parasitus_remberti",10.3333333333333,1,0.32258064516129,6,0.233333333333333
"Poecilochirus_subterraneus",2.90322580645161,0.9,1.12345679012346,0.681318681318681,0.467741935483871
"Proctolaelaps_pygmaeus",1.05882352941176,5.27777777777778,0.105263157894737,0.6,0.166666666666667
"Amphipsylla_sibirica",1,4.5,0.277777777777778,0.2,2
"Ceratophyllus_indages",3.57142857142857,0.28,2.42857142857143,0,0
"Ctenophthalmus_assimilis",0.770386266094421,1.69359331476323,0.651315789473684,1.06313131313131,0.465558194774347
"Megabothris_turbidus",0.666666666666667,3,0,0,0
"Megabothris_rectangulatus",0.455882352941176,4.75,0.631578947368421,0.669354838709677,0.530120481927711
"Amalaraeus_penicilliger",0.906077348066298,1.85365853658537,0.303728070175439,0.689530685920578,0.680628272251309
"Doratopsylla_birulai",0,0,0,2.12,2.67924528301887
"Frontopsylla_elata",0,0,0,0.0769230769230769,0
"Histrichopsylla_talpae",0.294871794871795,1.73913043478261,1.6,1.18229166666667,0.348017621145374
"Leptopsylla_segnis",0,0.571428571428571,0.375,0.333333333333333,0
"Neopsylla_acanthina",0.432098765432099,2.22857142857143,0.858974358974359,1.11940298507463,0.4
"Neopsylla_mana",0.424242424242424,0.785714285714286,0,0,0
"Palaeopsylla_soricis",0.293544457978075,2.98340248962656,1.91376912378303,2.39825581395349,0.841212121212121
"Rhadinopsylla_integella",0.666666666666667,0.5,0,0,1.5
